fund_code,fund_name,latest_net_value,latest_total_value,history_net_value,history_total_value,daily_growth_value,daily_growth_rate,latest_date,history_date
a,b,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-02,2025-10-02
006924,前海开源沪港深非周期股票C,1.5716,1.5716,1.5221,1.5221,0.0495,3.25,2025-10-02,2025-10-02
501076,鹏华创新动力混合(LOF),1.8361,1.8361,1.7785,1.7785,0.0576,3.24,2025-10-02,2025-10-02
012454,淳厚鑫悦混合A,1.0693,1.0693,1.0357,1.0357,0.0336,3.24,2025-10-02,2025-10-02
004260,德邦稳盈增长灵活配置混合A,1.0143,1.0143,0.9825,0.9825,0.0318,3.24,2025-10-02,2025-10-02
021793,华泰保兴产业升级混合发起C,1.5673,1.5673,1.5183,1.5183,0.049,3.23,2025-10-02,2025-10-02
021792,华泰保兴产业升级混合发起A,1.5712,1.5712,1.522,1.522,0.0492,3.23,2025-10-02,2025-10-02
018463,德邦稳盈增长灵活配置混合C,1.0027,1.0027,0.9713,0.9713,0.0314,3.23,2025-10-02,2025-10-02
012126,宏利新能源股票A,1.332,1.332,1.2903,1.2903,0.0417,3.23,2025-10-02,2025-10-02
012127,宏利新能源股票C,1.3147,1.3147,1.2736,1.2736,0.0411,3.23,2025-10-02,2025-10-02
011315,永赢港股通优质成长一年混合,1.0517,1.0517,1.0189,1.0189,0.0328,3.22,2025-10-02,2025-10-02
017873,汇添富香港优势精选混合(QDII)C,1.513,1.513,1.466,1.466,0.047,3.21,2025-10-02,2025-10-02
519674,银河创新成长混合A,9.8951,9.8951,9.587,9.587,0.3081,3.21,2025-10-02,2025-10-02
040007,华安中小盘成长混合,3.1592,4.4741,3.0608,4.3757,0.0984,3.21,2025-10-02,2025-10-02
014143,银河创新成长混合C,9.671,9.671,9.37,9.37,0.301,3.21,2025-10-02,2025-10-02
160421,华安智增精选混合,2.1243,2.1243,2.0584,2.0584,0.0659,3.2,2025-10-02,2025-10-02
160221,国泰国证有色金属行业指数(LOF)A,2.0074,1.4104,1.9451,1.3691,0.0623,3.2,2025-10-02,2025-10-02
015596,国泰国证有色金属行业指数(LOF)C,1.9951,1.9951,1.9332,1.9332,0.0619,3.2,2025-10-02,2025-10-02
016069,华商研究精选灵活配置C,3.69,3.69,3.576,3.576,0.114,3.19,2025-10-02,2025-10-02
014539,华安优势精选混合A,0.9742,0.9742,0.9441,0.9441,0.0301,3.19,2025-10-02,2025-10-02
020430,华安景气回报混合发起式A,1.2283,1.2283,1.1905,1.1905,0.0378,3.18,2025-10-02,2025-10-02
