fund_code,fund_name,latest_net_value,latest_total_value,history_net_value,history_total_value,daily_growth_value,daily_growth_rate,latest_date,history_date,update_time
000001,华夏成长混合,0.9350,3.4980,0.9270,3.4900,0.0080,0.86,2025-08-12,2025-08-12,2025-08-12 14:58:18
000003,中海可转债债券A,0.9900,1.2000,0.9810,1.1910,0.0090,0.92,2025-08-12,2025-08-12,2025-08-12 14:58:18
000004,中海可转债债券C,0.9680,1.1780,0.9590,1.1690,0.0090,0.94,2025-08-12,2025-08-12,2025-08-12 14:58:18
000005,嘉实增强信用定期债券,1.0266,1.5436,1.0242,1.5412,0.0024,0.23,2025-04-06,2025-04-06,2025-04-06 17:24:22
000006,西部利得量化成长混合A,2.3441,2.6721,2.3320,2.6600,0.0121,0.52,2025-08-12,2025-08-12,2025-08-12 14:58:19
000008,嘉实中证500ETF联接A,1.8761,1.9421,1.8571,1.9231,0.0190,1.02,2025-08-12,2025-08-12,2025-08-12 14:58:18
000011,华夏大盘精选混合A,16.2950,23.5510,16.1330,23.3890,0.1620,1.00,2025-08-12,2025-08-12,2025-08-12 14:58:18
000014,华夏聚利债券A,1.9761,1.9761,1.9635,1.9635,0.0126,0.64,2025-08-12,2025-08-12,2025-08-12 14:58:19
000015,华夏纯债债券A,1.1675,1.5581,1.1668,1.5574,0.0007,0.06,2025-04-06,2025-04-06,2025-04-06 17:24:22
000017,财通可持续混合,1.5620,3.3810,1.5280,3.3470,0.0340,2.23,2025-08-12,2025-08-12,2025-08-12 14:58:18
000020,景顺长城品质投资混合A,3.4830,3.6510,3.4510,3.6190,0.0320,0.93,2025-08-12,2025-08-12,2025-08-12 14:58:18
000021,华夏优势增长混合,2.6210,3.7910,2.5920,3.7620,0.0290,1.12,2025-08-12,2025-08-12,2025-08-12 14:58:18
000024,大摩双利增强债券A,1.1970,1.6878,1.1926,1.6834,0.0044,0.37,2025-04-06,2025-04-06,2025-04-06 00:36:37
000025,大摩双利增强债券C,1.1729,1.6401,1.1686,1.6358,0.0043,0.37,2025-04-06,2025-04-06,2025-04-06 00:36:37
000028,华富安鑫债券A,1.0807,1.6037,1.0743,1.5973,0.0064,0.60,2025-08-12,2025-08-12,2025-08-12 14:58:19
000029,富国宏观策略灵活配置混合A,2.8170,3.0120,2.7990,2.9940,0.0180,0.64,2025-08-12,2025-08-12,2025-08-12 14:58:19
000030,长城核心优选混合A,1.1428,2.1157,1.1326,2.0968,0.0102,0.90,2025-08-12,2025-08-12,2025-08-12 14:58:18
000031,华夏复兴混合A,2.1980,2.1980,2.1850,2.1850,0.0130,0.59,2025-08-12,2025-08-12,2025-08-12 14:58:19
000032,易方达信用债债券A,1.1374,1.6154,1.1346,1.6126,0.0028,0.25,2025-04-06,2025-04-06,2025-04-06 17:24:22
000033,易方达信用债债券C,1.1331,1.5581,1.1304,1.5554,0.0027,0.24,2025-04-06,2025-04-06,2025-04-06 17:24:22
000037,广发景宁债券A,1.1730,1.2154,1.1709,1.2133,0.0021,0.18,2025-04-06,2025-04-06,2025-04-06 17:24:22
000039,农银高增长混合,4.0540,4.0540,4.0052,4.0052,0.0488,1.22,2025-08-12,2025-08-12,2025-08-12 14:58:18
000041,华夏全球股票(QDII)(人民币),1.2723,1.2723,1.2685,1.2685,0.0038,0.30,2025-08-12,2025-08-12,2025-08-12 14:58:19
000042,财通中证ESG100指数增强A,2.0232,2.5120,2.0183,2.5071,0.0049,0.24,2025-08-12,2025-08-12,2025-08-12 14:58:19
000043,嘉实美国成长股票人民币,5.3800,5.3800,5.3210,5.3210,0.0590,1.11,2025-08-12,2025-08-12,2025-08-12 14:58:18
000044,嘉实美国成长股票美元现汇,4.5990,4.5990,4.5520,4.5520,0.0470,1.03,2025-08-12,2025-08-12,2025-08-12 14:58:18
000045,工银产业债债券A,1.4820,1.8870,1.4830,1.8880,-0.0010,-0.07,2025-04-06,2025-04-06,2025-04-06 17:24:22
000046,工银产业债债券B,1.4300,1.8090,1.4320,1.8110,-0.0020,-0.14,2025-04-06,2025-04-06,2025-04-06 17:24:22
000047,华夏双债债券A,1.9947,2.2968,1.9808,2.2829,0.0139,0.70,2025-08-12,2025-08-12,2025-08-12 14:58:18
000048,华夏双债债券C,1.9373,2.2290,1.9239,2.2156,0.0134,0.70,2025-08-12,2025-08-12,2025-08-12 14:58:18
000051,华夏沪深300ETF联接A,1.5470,1.5470,1.5408,1.5408,0.0062,0.40,2025-08-12,2025-08-12,2025-08-12 14:58:19
000053,鹏华永诚一年定开债券,1.0482,1.8513,1.0462,1.8484,0.0020,0.19,2025-04-06,2025-04-06,2025-04-06 17:24:22
000054,鹏华双债增利债券A,1.3179,1.6882,1.3166,1.6869,0.0013,0.10,2025-04-06,2025-04-06,2025-04-06 17:24:22
